timestamp,agent_id,x,y,z,yaw_deg
1777973360.3847,1,2.3235,1.0943,0.5271,31.31
1777973360.3847,2,0.6365,0.5126,0.3748,54.61
1777973360.3847,3,1.8505,0.2754,0.4233,4.91
1777973360.3847,7,2.2781,1.7924,0.7580,41.68
1777973360.4847,1,2.3235,1.0943,0.5271,31.31
1777973360.4847,2,0.6365,0.5126,0.3748,54.61
1777973360.4847,3,1.8505,0.2754,0.4233,4.91
1777973360.4847,7,2.2781,1.7924,0.7580,41.68
1777973360.5848,1,2.3235,1.0943,0.5271,31.31
1777973360.5848,2,0.6365,0.5126,0.3748,54.61
1777973360.5848,3,1.8505,0.2754,0.4233,4.91
1777973360.5848,7,2.2781,1.7924,0.7580,41.68
1777973360.6846,1,2.3235,1.0943,0.5271,31.31
1777973360.6846,2,0.6365,0.5126,0.3748,54.61
1777973360.6846,3,1.8505,0.2754,0.4233,4.91
1777973360.6846,7,2.2781,1.7924,0.7580,41.68
1777973360.7847,1,2.3235,1.0943,0.5271,31.31
1777973360.7847,2,0.6365,0.5126,0.3748,54.61
1777973360.7847,3,1.8505,0.2754,0.4233,4.91
1777973360.7847,7,2.2781,1.7924,0.7580,41.68
1777973360.8847,1,2.3235,1.0943,0.5271,31.31
1777973360.8847,2,0.6365,0.5126,0.3748,54.61
1777973360.8847,3,1.8505,0.2754,0.4233,4.91
1777973360.8847,7,2.2781,1.7924,0.7580,41.68
1777973360.9848,1,2.3235,1.0943,0.5271,31.31
1777973360.9848,2,0.6365,0.5126,0.3748,54.61
1777973360.9848,3,1.8505,0.2754,0.4233,4.91
1777973360.9848,7,2.2781,1.7924,0.7580,41.68
1777973361.0847,1,2.3235,1.0943,0.5271,31.31
1777973361.0847,2,0.6365,0.5126,0.3748,54.61
1777973361.0847,3,1.8505,0.2754,0.4233,4.91
1777973361.0847,7,2.2781,1.7924,0.7580,41.68
1777973361.1846,1,2.3235,1.0943,0.5271,31.31
1777973361.1846,2,0.6365,0.5126,0.3748,54.61
1777973361.1846,3,1.8505,0.2754,0.4233,4.91
1777973361.1846,7,2.3360,1.9821,0.7133,42.54
1777973361.2849,1,2.3438,1.0776,0.5668,31.05
1777973361.2849,2,0.6541,0.5097,0.3934,54.22
1777973361.2849,3,1.8638,0.2748,0.4492,-25.36
1777973361.2849,7,2.3614,1.9660,0.7494,42.25
1777973361.3871,1,2.3438,1.0776,0.5668,31.05
1777973361.3871,2,0.6541,0.5097,0.3934,54.22
1777973361.3871,3,1.8638,0.2748,0.4492,-25.36
1777973361.3871,7,2.3013,1.7770,0.7941,41.36
1777973361.4852,1,2.3235,1.0943,0.5271,31.31
1777973361.4852,2,0.6365,0.5126,0.3748,54.61
1777973361.4852,3,1.8488,0.2880,0.4128,-24.78
1777973361.4852,7,2.2781,1.7924,0.7580,41.68
1777973361.5846,1,2.3235,1.0943,0.5271,31.31
1777973361.5846,2,0.6365,0.5126,0.3748,54.61
1777973361.5846,3,1.8505,0.2754,0.4233,4.91
1777973361.5846,7,2.3360,1.9821,0.7133,42.54
1777973361.6855,1,2.3235,1.0943,0.5271,31.31
1777973361.6855,2,0.6365,0.5126,0.3748,54.61
1777973361.6855,3,1.8505,0.2754,0.4233,4.91
1777973361.6855,7,2.2781,1.7924,0.7580,41.68
1777973361.7862,1,2.3235,1.0943,0.5271,31.31
1777973361.7862,2,0.6541,0.5097,0.3934,54.22
1777973361.7862,3,1.8505,0.2754,0.4233,4.91
1777973361.7862,7,2.3614,1.9660,0.7494,42.25
1777973361.8858,1,2.3235,1.0943,0.5271,31.31
1777973361.8858,2,0.6365,0.5126,0.3748,54.61
1777973361.8858,3,1.8488,0.2880,0.4128,-24.78
1777973361.8858,7,2.3360,1.9821,0.7133,42.54
1777973361.9847,1,2.3235,1.0943,0.5271,31.31
1777973361.9847,2,0.6365,0.5126,0.3748,54.61
1777973361.9847,3,1.8488,0.2880,0.4128,-24.78
1777973361.9847,7,2.3360,1.9821,0.7133,42.54
1777973362.0848,1,2.3237,1.0922,0.5273,32.17
1777973362.0848,2,0.6365,0.5126,0.3748,54.61
1777973362.0848,3,1.8488,0.2880,0.4128,-24.78
1777973362.0848,7,2.2781,1.7924,0.7580,41.68
1777973362.1850,1,2.3235,1.0943,0.5271,31.31
1777973362.1850,2,0.6365,0.5126,0.3748,54.61
1777973362.1850,3,1.8505,0.2754,0.4233,4.91
1777973362.1850,7,2.2781,1.7924,0.7580,41.68
1777973362.2848,1,2.3235,1.0943,0.5271,31.31
1777973362.2848,2,0.6365,0.5126,0.3748,54.61
1777973362.2848,3,1.8505,0.2754,0.4233,4.91
1777973362.2848,7,2.2866,1.8187,0.7509,41.82
1777973362.3847,1,2.3235,1.0943,0.5271,31.31
1777973362.3847,2,0.6365,0.5126,0.3748,54.61
1777973362.3847,3,1.8505,0.2754,0.4233,4.91
1777973362.3847,7,2.3360,1.9821,0.7133,42.54
1777973362.4864,1,2.3235,1.0943,0.5271,31.31
1777973362.4864,2,0.6365,0.5126,0.3748,54.61
1777973362.4864,3,1.8505,0.2754,0.4233,4.91
1777973362.4864,7,2.3360,1.9821,0.7133,42.54
1777973362.5847,1,2.3438,1.0776,0.5668,31.05
1777973362.5847,2,0.6365,0.5126,0.3748,54.61
1777973362.5847,3,1.8652,0.2623,0.4597,4.23
1777973362.5847,7,2.2781,1.7924,0.7580,41.68
1777973362.6847,1,2.3235,1.0943,0.5271,31.31
1777973362.6847,2,0.6365,0.5126,0.3748,54.61
1777973362.6847,3,1.8488,0.2880,0.4128,-24.78
1777973362.6847,7,2.2781,1.7924,0.7580,41.68
1777973362.7849,1,2.3235,1.0943,0.5271,31.31
1777973362.7849,2,0.6365,0.5126,0.3748,54.61
1777973362.7849,3,1.8505,0.2754,0.4233,4.91
1777973362.7849,7,2.3360,1.9821,0.7133,42.54
1777973362.8866,1,2.3235,1.0943,0.5271,31.31
1777973362.8866,2,0.6365,0.5126,0.3748,54.61
1777973362.8866,3,1.8442,0.2782,0.4297,-25.55
1777973362.8866,7,2.2781,1.7924,0.7580,41.68
1777973362.9847,1,2.3235,1.0943,0.5271,31.31
1777973362.9847,2,0.6365,0.5126,0.3748,54.61
1777973362.9847,3,1.8505,0.2754,0.4233,4.91
1777973362.9847,7,2.3360,1.9821,0.7133,42.54
1777973363.0849,1,2.3235,1.0943,0.5271,31.31
1777973363.0849,2,0.6365,0.5126,0.3748,54.61
1777973363.0849,3,1.8505,0.2754,0.4233,4.91
1777973363.0849,7,2.3360,1.9821,0.7133,42.54
1777973363.1847,1,2.3235,1.0943,0.5271,31.31
1777973363.1847,2,0.6365,0.5126,0.3748,54.61
1777973363.1847,3,1.8505,0.2754,0.4233,4.91
1777973363.1847,7,2.2866,1.8187,0.7509,41.82
1777973363.2848,1,2.3235,1.0943,0.5271,31.31
1777973363.2848,2,0.6365,0.5126,0.3748,54.61
1777973363.2848,3,1.8488,0.2880,0.4128,-24.78
1777973363.2848,7,2.3360,1.9821,0.7133,42.54
1777973363.3848,1,2.3235,1.0943,0.5271,31.31
1777973363.3848,2,0.6541,0.5097,0.3934,54.22
1777973363.3848,3,1.8488,0.2880,0.4128,-24.78
1777973363.3848,7,2.3614,1.9660,0.7494,42.25
1777973363.4848,1,2.3438,1.0776,0.5668,31.05
1777973363.4848,2,0.6541,0.5097,0.3934,54.22
1777973363.4848,3,1.8652,0.2623,0.4597,4.23
1777973363.4848,7,2.3614,1.9660,0.7494,42.25
1777973363.5848,1,2.3235,1.0943,0.5271,31.31
1777973363.5848,2,0.6365,0.5126,0.3748,54.61
1777973363.5848,3,1.8488,0.2880,0.4128,-24.78
1777973363.5848,7,2.3360,1.9821,0.7133,42.54
1777973363.6847,1,2.3235,1.0943,0.5271,31.31
1777973363.6847,2,0.6365,0.5126,0.3748,54.61
1777973363.6847,3,1.8488,0.2880,0.4128,-24.78
1777973363.6847,7,2.3360,1.9821,0.7133,42.54
1777973363.7846,1,2.3235,1.0943,0.5271,31.31
1777973363.7846,2,0.6365,0.5126,0.3748,54.61
1777973363.7846,3,1.8505,0.2754,0.4233,4.91
1777973363.7846,7,2.3360,1.9821,0.7133,42.54
1777973363.8847,1,2.3235,1.0943,0.5271,31.31
1777973363.8847,2,0.6365,0.5126,0.3748,54.61
1777973363.8847,3,1.8442,0.2782,0.4297,-25.55
1777973363.8847,7,2.3360,1.9821,0.7133,42.54
1777973363.9846,1,2.3235,1.0943,0.5271,31.31
1777973363.9846,2,0.6541,0.5097,0.3934,54.22
1777973363.9846,3,1.8505,0.2754,0.4233,4.91
1777973363.9846,7,2.3360,1.9821,0.7133,42.54
1777973364.0847,1,2.3438,1.0776,0.5668,31.05
1777973364.0847,2,0.6541,0.5097,0.3934,54.22
1777973364.0847,3,1.8638,0.2748,0.4492,-25.36
1777973364.0847,7,2.3360,1.9821,0.7133,42.54
1777973364.1847,1,2.3438,1.0776,0.5668,31.05
1777973364.1847,2,0.6365,0.5126,0.3748,54.61
1777973364.1847,3,1.8638,0.2748,0.4492,-25.36
1777973364.1847,7,2.3360,1.9821,0.7133,42.54
1777973364.2862,1,2.3438,1.0776,0.5668,31.05
1777973364.2862,2,0.6365,0.5126,0.3748,54.61
1777973364.2862,3,1.8652,0.2623,0.4597,4.23
1777973364.2862,7,2.3360,1.9821,0.7133,42.54
1777973364.3863,1,2.3235,1.0943,0.5271,31.31
1777973364.3863,2,0.6541,0.5097,0.3934,54.22
1777973364.3863,3,1.8505,0.2754,0.4233,4.91
1777973364.3863,7,2.3614,1.9660,0.7494,42.25
1777973364.4848,1,2.3237,1.0922,0.5273,32.17
1777973364.4848,2,0.6365,0.5126,0.3748,54.61
1777973364.4848,3,1.8488,0.2880,0.4128,-24.78
1777973364.4848,7,2.3614,1.9660,0.7494,42.25
1777973364.5867,1,2.3235,1.0943,0.5271,31.31
1777973364.5867,2,0.6365,0.5126,0.3748,54.61
1777973364.5867,3,1.8488,0.2880,0.4128,-24.78
1777973364.5867,7,2.3614,1.9660,0.7494,42.25
1777973364.6869,1,2.3235,1.0943,0.5271,31.31
1777973364.6869,2,0.6365,0.5126,0.3748,54.61
1777973364.6869,3,1.8535,0.2805,0.4117,4.27
1777973364.6869,7,2.3614,1.9660,0.7494,42.25
1777973364.7848,1,2.3235,1.0943,0.5271,31.31
1777973364.7848,2,0.6365,0.5126,0.3748,54.61
1777973364.7848,3,1.8488,0.2880,0.4128,-24.78
1777973364.7848,7,2.3614,1.9660,0.7494,42.25
1777973364.8849,1,2.3235,1.0943,0.5271,31.31
1777973364.8849,2,0.6365,0.5126,0.3748,54.61
1777973364.8849,3,1.8488,0.2880,0.4128,-24.78
1777973364.8849,7,2.3614,1.9660,0.7494,42.25
1777973364.9903,1,2.3235,1.0943,0.5271,31.31
1777973364.9903,2,0.6365,0.5126,0.3748,54.61
1777973364.9903,3,1.8535,0.2805,0.4117,4.27
1777973364.9903,7,2.3614,1.9660,0.7494,42.25
1777973365.0896,1,2.3235,1.0943,0.5271,31.31
1777973365.0896,2,0.6365,0.5126,0.3748,54.61
1777973365.0896,3,1.8535,0.2805,0.4117,4.27
1777973365.0896,7,2.3360,1.9821,0.7133,42.54
1777973365.1846,1,2.3237,1.0922,0.5273,32.17
1777973365.1846,2,0.6365,0.5126,0.3748,54.61
1777973365.1846,3,1.8535,0.2805,0.4117,4.27
1777973365.1846,7,2.3360,1.9821,0.7133,42.54
1777973365.2849,1,2.3235,1.0943,0.5271,31.31
1777973365.2849,2,0.6365,0.5126,0.3748,54.61
1777973365.2849,3,1.8535,0.2805,0.4117,4.27
1777973365.2849,7,2.3360,1.9821,0.7133,42.54
1777973365.3848,1,2.3235,1.0943,0.5271,31.31
1777973365.3848,2,0.6496,0.5077,0.3850,54.24
1777973365.3848,3,1.8535,0.2805,0.4117,4.27
1777973365.3848,7,2.3360,1.9821,0.7133,42.54
1777973365.4847,1,2.3235,1.0943,0.5271,31.31
1777973365.4847,2,0.6670,0.5047,0.4038,53.86
1777973365.4847,3,1.8535,0.2805,0.4117,4.27
1777973365.4847,7,2.3614,1.9660,0.7494,42.25
1777973365.5847,1,2.3205,1.0798,0.5332,30.26
1777973365.5847,2,0.6521,0.5116,0.3914,49.09
1777973365.5847,3,1.8535,0.2811,0.4095,2.19
1777973365.5847,7,2.3360,1.9821,0.7133,42.54
1777973365.6847,1,2.3600,1.0816,0.5599,29.85
1777973365.6847,2,0.6110,0.5137,0.3596,47.73
1777973365.6847,3,1.8671,0.2849,0.4368,-24.13
1777973365.6847,7,2.3360,1.9821,0.7133,42.54
1777973365.7847,1,2.3707,1.0772,0.5079,24.69
1777973365.7847,2,0.5666,0.4941,0.3445,43.22
1777973365.7847,3,1.8667,0.3130,0.4067,5.60
1777973365.7847,7,2.3572,1.9577,0.7106,34.38
1777973365.8847,1,2.3764,1.0523,0.5132,21.59
1777973365.8847,2,0.5431,0.4855,0.3430,39.25
1777973365.8847,3,1.8684,0.3370,0.4105,-25.05
1777973365.8847,7,2.3572,1.9577,0.7106,34.38
1777973365.9847,1,2.4089,1.0078,0.5527,17.13
1777973365.9847,2,0.5452,0.4741,0.3536,37.28
1777973365.9847,3,1.9011,0.3588,0.4434,-28.85
1777973365.9847,7,2.3572,1.9577,0.7106,34.38
1777973366.0852,1,2.4035,1.0255,0.5027,17.26
1777973366.0852,2,0.5019,0.4651,0.3379,29.60
1777973366.0852,3,1.8943,0.3872,0.4087,-27.81
1777973366.0852,7,2.3572,1.9577,0.7106,34.38
1777973366.1848,1,2.4375,0.9775,0.5397,10.90
1777973366.1848,2,0.5057,0.4484,0.3508,28.80
1777973366.1848,3,1.9201,0.3900,0.4656,-26.11
1777973366.1848,7,2.3572,1.9577,0.7106,34.38
1777973366.2847,1,2.4414,0.9572,0.5406,9.94
1777973366.2847,2,0.4624,0.4411,0.3356,24.26
1777973366.2847,3,1.9363,0.4143,0.4392,7.96
1777973366.2847,7,2.3572,1.9577,0.7106,34.38
1777973366.3847,1,2.4271,0.9580,0.4927,8.36
1777973366.3847,2,0.4013,0.4407,0.3016,18.61
1777973366.3847,3,1.9279,0.4523,0.4280,-22.56
1777973366.3847,7,2.3572,1.9577,0.7106,34.38
1777973366.4847,1,2.4394,0.9677,0.4803,6.99
1777973366.4847,2,0.4176,0.4314,0.3210,16.37
1777973366.4847,3,1.9422,0.4701,0.4122,11.23
1777973366.4847,7,2.4393,1.9230,0.7174,6.86
1777973366.5847,1,2.4487,0.9361,0.5271,4.85
1777973366.5847,2,0.4176,0.4314,0.3210,16.37
1777973366.5847,3,1.9571,0.4659,0.4783,-19.54
1777973366.5847,7,2.4217,1.8690,0.7277,1.30
1777973366.6847,1,2.4426,0.9364,0.5243,2.68
1777973366.6847,2,0.4176,0.4314,0.3210,16.37
